time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-18T07:53:37.880Z,38.8923,74.8835,35,4.4,mb,,69,2.464,1.02,us,us70003mya,2019-05-18T09:11:47.040Z,"113km WSW of Kashi, China",earthquake,6.5,2,0.134,16,reviewed,us,us
2019-05-18T07:48:18.413Z,29.6908,52.0167,10,4.6,mb,,47,6.017,0.82,us,us70003my9,2019-05-19T04:47:18.562Z,"35km ENE of Kazerun, Iran",earthquake,6.8,1.8,0.073,56,reviewed,us,us
2019-05-18T07:42:41.000Z,17.98,-68.0708,60,3.04,md,9,214,0.7167,0.2,pr,pr2019138004,2019-05-19T04:46:46.040Z,"59km SE of Boca de Yuma, Dominican Republic",earthquake,1.63,2.69,0.28,9,reviewed,pr,pr
2019-05-18T07:38:08.670Z,18.1848,-68.0283,56,2.5,md,7,194,0.5843,0.3,pr,pr2019138003,2019-05-18T13:43:37.272Z,"59km SE of Punta Cana, Dominican Republic",earthquake,2.91,2.76,0.39,7,reviewed,pr,pr
2019-05-18T06:53:10.109Z,60.021,-147.0965,13.6,2.5,ml,,,,0.65,ak,ak0196cc1vif,2019-05-18T09:02:46.040Z,"78km NNW of Middleton Island, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-18T06:07:19.153Z,-40.4305,176.7861,48.82,4.2,mb,,179,0.48,0.4,us,us70003mxw,2019-05-18T06:45:15.040Z,"70km NE of Castlepoint, New Zealand",earthquake,5.5,7.9,0.236,5,reviewed,us,us
2019-05-18T03:55:39.562Z,-4.8282,-75.0735,35,4.5,mb,,129,3.722,0.96,us,us70003mxi,2019-05-18T04:28:26.040Z,"79km ENE of Lagunas, Peru",earthquake,9.1,2,0.104,30,reviewed,us,us
2019-05-18T02:52:25.970Z,-33.311,-70.3431,98.23,4.2,mwr,,77,0.045,0.31,us,us70003mx8,2019-05-18T07:16:08.195Z,"27km NE of Villa Presidente Frei, Nunoa, Santiago, Chile, Chile",earthquake,5,4.3,,,reviewed,us,guc
2019-05-18T02:34:38.090Z,18.0548,-68.4291,96,3.13,md,8,217,1.3204,0.43,pr,pr2019138001,2019-05-18T03:54:15.040Z,"44km SSE of Boca de Yuma, Dominican Republic",earthquake,5.32,4.35,0.19,8,reviewed,pr,pr
2019-05-18T01:51:30.078Z,-9.4947,108.6653,10,5.6,mww,,40,2.417,1.41,us,us70003mw2,2019-05-19T16:42:00.040Z,"187km S of Sindangsari, Indonesia",earthquake,6.4,1.8,0.066,22,reviewed,us,us
2019-05-18T01:22:50.209Z,58.243,-154.8789,0,2.5,ml,,,,0.61,ak,ak0196c8w5dx,2019-05-18T01:48:05.040Z,"94km NW of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-18T01:18:03.020Z,38.9378,141.7729,77.64,4.8,mb,,134,1.317,0.94,us,usd000a26m,2019-05-18T12:28:19.589Z,"15km SSE of Ofunato, Japan",earthquake,7.7,6.9,0.033,277,reviewed,us,us
2019-05-18T00:14:33.059Z,51.2758,-177.9762,35,4.3,mb,,177,0.772,0.9,us,us70003mvl,2019-05-19T21:53:06.272Z,"68km S of Tanaga Volcano, Alaska",earthquake,8.6,2,0.037,209,reviewed,us,us
